id,value,category
1,17080501.27,C
2,9934934.25,B
3,20614897.28,C
4,9971886.38,B
5,15531250.73,C
6,8927755.16,C
7,11162786,C
8,20705899.84,A
9,1593041.06,B
10,12830746.04,D
11,9238335.54,D
12,15906021.63,C
13,11178811.32,B
14,8995371.24,B
15,1886467.56,A
16,19255292.82,C
17,19909913.78,C
18,2761304.75,C
19,4229305.72,B
20,477912.54,D
21,6199574.28,A
22,10985676.58,C
23,35797.88,A
24,6116418.31,B
25,10731617.44,B
26,19636574.82,D
27,19626605.07,A
28,10703124.12,A
29,15983070.47,B
30,11913192.45,D
31,18613853.45,A
32,16981078.64,B
33,6898649,D
34,15220125.46,B
35,17465607.62,D
36,1233601.35,B
37,13504820.82,C
38,13614960.29,A
39,16427627.45,C
40,13230170.19,C
41,18135587.71,C
42,8732185.9,C
43,15759419.16,C
44,16672925.32,C
45,17262684.45,B
46,19763825.53,D
47,1281106.6,C
48,5039418.1,D
49,10473957.95,A
50,5366475.08,C
