id,value,category
1,2035944.53,D
2,6834113.18,A
3,5852550.5,B
4,21198804.98,C
5,17196870.2,D
6,19915662.77,B
7,7914028.43,B
8,7062566.25,C
9,20688347.94,A
10,4598976.55,A
11,820125.62,C
12,10246044.77,B
13,3641515.53,D
14,8749031.97,A
15,12533160.84,B
16,444504.48,D
17,11652825.11,B
18,18734561.81,A
19,19154626.95,D
20,5493288.64,C
21,17196024.16,A
22,1994465.89,D
23,3245721.75,B
24,17302617.72,A
25,2164087.45,C
26,11413641.61,C
27,13867122.38,A
28,20175336.63,D
29,17930812.74,B
30,5624068.88,A
31,4356558.2,D
32,21048213.29,C
33,8789701.63,D
34,16248063.68,A
35,18895152.36,B
36,1924159.71,A
37,11715914.14,A
38,5644538.69,A
39,9410347.2,D
40,3189387.45,B
41,9415484.62,C
42,18397397.53,B
43,6849302.25,C
44,4790958.79,A
45,11253682.66,A
46,11295647.7,A
47,20913258.62,C
48,6180329.8,B
49,2954383.13,A
50,20963497.09,A
