id,value,category
1,12957400.98,C
2,10328083.57,B
3,10899234.57,B
4,10562245,B
5,1228365.75,D
6,3108736.65,A
7,7063076.27,D
8,7538028.13,A
9,7952589.29,B
10,21105552.22,B
11,13509731.44,C
12,17281127.49,B
13,14728595.9,A
14,19782752.62,A
15,7917361.58,A
16,13912432.75,B
17,13498022.14,B
18,18427412.52,A
19,1295709.03,A
20,5154557.78,B
21,16807674.21,B
22,8982594.7,A
23,9560532.47,C
24,14240331.41,C
25,1857096.8,C
26,285974.02,D
27,335261.92,C
28,5906354.95,A
29,17272545.73,C
30,19972227.42,C
31,7750206.14,A
32,14940453.28,C
33,21436339.9,C
34,20049236.14,D
35,15766337.48,D
36,8860596.4,A
37,17112009.3,B
38,661295.46,A
39,2994641.39,A
40,8837569.09,C
41,8104380.24,A
42,5331683.8,A
43,16138575.37,D
44,15028295.81,A
45,10909488.44,C
46,5662163.92,B
47,24072.55,A
48,9660555.28,A
49,16400988.44,C
50,8646864.9,C
