id,value,category
1,7561710.08,D
2,5441591.47,A
3,14184787.29,D
4,18402161.28,A
5,1288224.07,B
6,19098761.06,D
7,16350042.21,C
8,9357898.04,B
9,15904564.39,D
10,6919419.83,D
11,19033673.86,A
12,5869129.66,A
13,3638422.5,D
14,15537155.81,A
15,3045094.98,D
16,7979531.99,D
17,18097706.35,A
18,1544161.39,A
19,2442156.79,C
20,19278826.85,A
21,10701238.79,C
22,9459834.31,B
23,19392036.05,D
24,16961286.55,A
25,13574384.31,B
26,16277058.42,C
27,1832660.12,C
28,15826050.89,D
29,10796145.1,A
30,15951489.89,B
31,1204566.62,D
32,13251787.97,D
33,16423709.38,D
34,15954212.13,C
35,16159460.93,D
36,20966011.29,D
37,6166638.96,D
38,18037178.24,D
39,8266942.13,C
40,10745092.46,D
41,3045321.19,A
42,15875097.38,B
43,14720849.4,D
44,2282760.99,D
45,8123984.24,D
46,13790593.63,D
47,7918481.55,A
48,12277541.03,C
49,1656553.66,C
50,17216527.49,D
