id,value,category
1,20783849.15,B
2,10268299.89,C
3,20519502.78,B
4,19043649.86,B
5,6093222.53,B
6,2087510.08,D
7,12524805.2,D
8,15942069.19,C
9,1153590.36,B
10,20637108.76,D
11,13713920.17,C
12,4987864.86,B
13,2557015.4,B
14,17338293.45,B
15,10259053.76,D
16,60447.23,C
17,2532181.03,B
18,3901494.97,A
19,11659095.8,A
20,774843.02,D
21,12432100.66,D
22,15871335.24,D
23,11994849,B
24,4963811.26,C
25,12995888.47,B
26,19275192.91,B
27,5734634.12,B
28,4305465.27,C
29,19861513.48,B
30,10754888.15,A
31,7651646.96,D
32,1121973.38,D
33,9358493.9,B
34,7743937.81,A
35,17901439.81,B
36,2087315.69,D
37,1332847.31,A
38,11091419.47,D
39,14688984.35,D
40,16744129.45,D
41,20546067.65,B
42,5211015.59,A
43,11338220.12,B
44,6653893.12,A
45,3912252.88,C
46,4254423.38,C
47,440755.37,D
48,13597025.57,A
49,19597546.1,A
50,16627454.41,B
