id,value,category
1,10939621.47,B
2,12270402.18,C
3,13587441.22,D
4,4405793.56,B
5,8097308.75,B
6,20950301.21,D
7,18025023.89,C
8,763495.57,C
9,20831682.4,A
10,5715115.09,D
11,12317575.78,C
12,8467920.83,C
13,6993209.44,B
14,18160024.83,C
15,11930826.38,C
16,10840481.29,A
17,9338048.47,D
18,9726890.96,D
19,12265416.94,A
20,19333625.35,D
21,1823647.81,C
22,16908573.01,B
23,13095067.25,A
24,15392882.57,A
25,10237411.37,C
26,20120982.78,A
27,4791651.42,C
28,4967371.23,C
29,9194624,C
30,19367192.72,B
31,10893534.18,C
32,14374376.95,A
33,3540626.12,A
34,20973962.69,D
35,7019314.43,C
36,11914536.58,B
37,5523920.04,A
38,17270242.9,A
39,5669035.96,C
40,7041075.4,A
41,8213639.16,D
42,4434786.24,C
43,13376078.37,B
44,17157467.68,C
45,20434406.58,B
46,10160535.05,D
47,7790458.57,A
48,11469993.82,C
49,12583822.35,A
50,19497394.35,B
