id,value,category
1,18592496.67,B
2,13143425.32,B
3,16587675.03,B
4,8247270.28,C
5,20821163.55,C
6,916512.06,B
7,1076002.48,B
8,3952465.21,A
9,17099344.19,D
10,17799273.63,A
11,793535.1,C
12,15799446.19,D
13,18127821.09,A
14,11972571.12,C
15,12563804.9,D
16,14679340.46,B
17,6769475.64,D
18,2418960.24,A
19,5350927.57,A
20,1080446.63,C
21,8876403.26,D
22,20102008.92,D
23,969729.1,B
24,6429760.43,B
25,20530010.01,B
26,3659663.9,D
27,4682727.8,D
28,1653855.31,B
29,8506615.4,D
30,11401753.11,A
31,5191023.69,A
32,1740174.26,C
33,14595809.33,D
34,17256836.73,C
35,10322501.75,B
36,14053483.86,B
37,11960374.67,B
38,17605437.9,A
39,9285866.79,D
40,14620649.74,D
41,8378328.48,A
42,8927916.93,A
43,7682945.45,D
44,20522412.21,B
45,15719980.81,A
46,15393657.52,D
47,4283544.51,A
48,8537883.6,D
49,15661140.54,B
50,19011662.49,A
