id,value,category
1,16800983.37,C
2,15294929.69,B
3,3420898.26,D
4,11163378.32,D
5,12416750.84,B
6,16509414.45,A
7,13839727.65,A
8,689359.03,C
9,4330988.68,C
10,16395831.9,B
11,17702891.61,A
12,9848638.36,A
13,11927232.56,B
14,19243063.35,A
15,15889309.48,A
16,123724.67,A
17,3412041.79,A
18,11004291.36,B
19,19321384.53,B
20,11745283.64,A
21,21273964.01,D
22,12394658.99,B
23,8448755.83,A
24,6885031.81,C
25,18094461.54,D
26,6776882.35,B
27,6113061.21,B
28,3085159.36,C
29,5251637.78,A
30,11689386.47,C
31,7390939.34,D
32,12871292.37,B
33,7922109.14,B
34,3972892.11,B
35,8336153.09,A
36,2448121.23,D
37,1032159.38,B
38,18988708.29,D
39,13246754.62,B
40,10873883.74,D
41,10568046.03,A
42,20902852.52,C
43,3820833.54,A
44,5932701.26,C
45,16496363.16,B
46,12095894.43,B
47,18891598,B
48,6019114.99,A
49,18705729.7,A
50,18944701.51,C
