id,value,category
1,3184343.62,A
2,6532485.65,C
3,4880314.73,B
4,6431906.71,C
5,14601431.18,B
6,11978560.52,C
7,2713002,B
8,17010064.67,D
9,692119.94,C
10,13006244.09,C
11,14221893.25,C
12,10522935.97,B
13,13507043.69,C
14,10228908.44,D
15,9063004.46,C
16,20044225.91,A
17,17685229.57,D
18,12705447.31,D
19,2004515.6,A
20,1037211.4,B
21,2700229.6,B
22,16740287.54,A
23,6228662.94,A
24,5464384.41,B
25,4106097.96,B
26,15838709.67,D
27,12520081.12,D
28,20659846.3,B
29,8397080.68,D
30,11276478.97,A
31,8684987.35,D
32,17226305.66,A
33,9734296.22,B
34,7978899.5,C
35,12766555.43,C
36,21048842.52,B
37,6884153.1,C
38,17613512.5,C
39,3622651.32,D
40,9961314.39,B
41,18497664.16,C
42,6571129.81,B
43,3059887.28,A
44,11545719.84,B
45,3683957.31,C
46,5670213.15,B
47,20530827.26,B
48,347451.88,B
49,20706356.32,C
50,8230837.11,B
