id,value,category
1,3526222.93,B
2,18582734.64,A
3,18996889.13,C
4,3431152.32,A
5,1625605.68,B
6,6293486.7,B
7,15148403.65,C
8,3268319.45,B
9,9228935.37,D
10,8518190.32,D
11,13555452.56,B
12,9738928.59,A
13,17416515.33,C
14,16753352.15,D
15,6337079.84,B
16,352585.13,C
17,20379129.8,C
18,10656932.04,C
19,11048071.17,A
20,12285080.25,C
21,2718868.35,C
22,19736604.36,C
23,21303644.17,D
24,21194914.03,C
25,8464032.49,D
26,12248786.38,D
27,3053197.53,B
28,11732787.1,B
29,14423738.75,A
30,4295240.69,D
31,3120375.39,D
32,1811919.74,B
33,8079720.44,C
34,694341.69,C
35,8565234.64,C
36,13141990.66,A
37,3701871.94,D
38,5656102.62,B
39,21026854.63,C
40,19407491.8,B
41,2304031.6,C
42,13969890.02,D
43,2475187.58,A
44,11046571.23,A
45,12552499.87,B
46,11317423.5,D
47,7591345.79,C
48,13819287.92,D
49,11824987.86,D
50,4736453.33,B
