id,value,category
1,12158452.83,C
2,9711934.14,B
3,15257739.84,C
4,5916606.23,D
5,8431055.15,B
6,2699758.75,B
7,18887742.96,B
8,3719753.37,A
9,7628922.26,A
10,12051040.18,B
11,4532033.73,B
12,15703357.07,B
13,12856756.95,D
14,11741132.24,B
15,7496202.88,D
16,931557.76,C
17,17996616.72,B
18,10176396.4,A
19,7459509.99,D
20,19470369.83,C
21,955127.48,C
22,5711038.55,C
23,7914105.76,D
24,18032077.62,C
25,2359123.95,D
26,14211580.61,C
27,20708431.45,C
28,13109838.15,D
29,10781508.47,B
30,3175522.92,B
31,18278843.55,B
32,7893030.98,A
33,19336795.46,B
34,7312785.38,C
35,2591479.66,C
36,18712512.74,B
37,13498791.96,D
38,14005136.14,B
39,4982381.01,D
40,12771436.06,B
41,8719542.32,B
42,8678130.59,B
43,11224165.08,C
44,854352.43,C
45,315628.22,C
46,1527548.86,D
47,8665045.88,D
48,17003151.45,C
49,7418805.88,B
50,1526660.59,D
