id,value,category
1,13195227.21,B
2,12656930.69,A
3,19933664.28,C
4,11313157.4,C
5,14305153.12,A
6,9283830.42,D
7,18170507.37,B
8,18951301.33,C
9,18529606.37,A
10,19389918.56,B
11,17137799.39,A
12,13034553.67,C
13,12310466.69,B
14,5605355.84,A
15,4266847.99,C
16,17231461.65,B
17,6498276.28,C
18,17040483.6,A
19,11354896.32,D
20,785880.03,C
21,20210102.49,D
22,19058193.2,C
23,17446038.09,A
24,687888.48,A
25,18824654.73,D
26,4935783.1,B
27,18244801.6,B
28,4966576.37,B
29,4955987.77,D
30,9771398.29,A
31,13972381.61,A
32,3711782.84,A
33,5175493.77,B
34,17132003.59,B
35,7646245.09,B
36,19304553.65,A
37,8825748.4,D
38,7590607.24,B
39,20768097.03,D
40,15293002.44,D
41,11205057.3,A
42,1286691.28,D
43,6355636.22,C
44,15137999.77,D
45,20421926.78,B
46,3671255.82,A
47,16873546.53,D
48,13425819.56,B
49,18711545.49,B
50,13888395.31,D
