id,value,category
1,11500802.9,C
2,6412397.71,A
3,8232974.76,A
4,15826051.5,D
5,2730208.34,D
6,9769861.22,A
7,17991242.32,C
8,8142705.82,C
9,14657453.46,C
10,3249765.56,B
11,20278550.84,B
12,14731189.43,D
13,9162986.27,C
14,340731.05,B
15,16497621.24,D
16,8960872.47,C
17,3076747.41,A
18,7103477.52,A
19,12087457.63,A
20,13914919.09,B
21,21291928.28,D
22,8755724.42,C
23,9045157.34,A
24,12726141.55,A
25,653942.12,D
26,20135630.69,C
27,884038.35,B
28,821661,D
29,20615397.12,D
30,9696393.65,C
31,16969577.55,A
32,21247882.62,A
33,21359936.87,C
34,13864570.13,B
35,6389245.79,A
36,9995739.86,B
37,15553601.39,D
38,11408297.74,C
39,10490673.65,C
40,12056296.46,B
41,874158.34,D
42,16626202.43,D
43,16288124.78,B
44,13396654.88,A
45,18144755.37,B
46,2300220.53,C
47,2228725.36,C
48,7631623.75,A
49,1713369.32,B
50,7163637.17,C
