id,value,category
1,1086998.94,C
2,17214222.61,D
3,19454764.23,C
4,20499182.14,A
5,4259087.46,B
6,14329838.52,A
7,15986562.26,D
8,2424007.34,D
9,2238339.11,D
10,16670208.56,D
11,11406497.46,D
12,12396426.97,D
13,17979409.96,D
14,15978832.88,A
15,7485054.26,B
16,9542150.3,D
17,9104554.16,C
18,7030612.7,A
19,2441727.4,D
20,7045652.34,D
21,7466224.92,C
22,14809559.98,D
23,14456563.97,B
24,11879147.77,D
25,10975565.93,A
26,6463320.67,D
27,17511073.39,D
28,4186053.08,C
29,17490333.37,D
30,5572979.54,B
31,11901817.44,A
32,5795898.56,D
33,1641721.49,A
34,21464313.66,C
35,207491.38,B
36,2458338.31,C
37,3914786.7,D
38,948564.33,A
39,17990183.09,B
40,11388305.43,A
41,613628.01,D
42,21190887.51,D
43,18385092.71,C
44,423768.89,C
45,15609694.05,B
46,17405404.05,A
47,8010305.47,B
48,13783488.58,A
49,13834017.58,C
50,3884431.47,A
