id,value,category
1,14598900.04,C
2,6272890.67,D
3,15744077.61,D
4,3666315.22,D
5,14899550.6,D
6,10144742.62,A
7,6327424.29,B
8,13805082.28,C
9,16731418.52,B
10,13975579.26,C
11,5351231.73,A
12,13513349.56,C
13,18589927.79,B
14,16260060.62,D
15,12133371.01,D
16,19071609.1,C
17,17411159.8,A
18,17705598.25,B
19,11401087.86,C
20,288112.92,C
21,17054967.16,C
22,21157407.55,D
23,1551408.09,C
24,13533665.95,B
25,20704642.87,C
26,7020870.16,C
27,17828898.58,D
28,6206789.51,D
29,1861785.71,D
30,12431021.72,A
31,12358202.16,D
32,12344068.04,A
33,2249887.04,D
34,4556645.33,A
35,12475071.52,D
36,1469070.02,D
37,13958346.44,A
38,5056024.83,B
39,9503979.72,C
40,21274244.85,A
41,4689342.71,C
42,19935008.58,C
43,17464837.95,C
44,8226302.48,B
45,3474654.1,C
46,17239674.32,D
47,8395498.35,A
48,4732069.11,B
49,741128.27,C
50,7676211.85,A
