id,value,category
1,7314827.5,C
2,1641803.67,C
3,11498390.32,A
4,806968.48,C
5,2849352.49,C
6,20120111.91,A
7,984791.35,A
8,13682160.56,D
9,7790054.18,C
10,4364175.27,A
11,20028443.43,C
12,14141924.46,B
13,2726654.49,D
14,2175670.32,B
15,18227072.16,B
16,2429450.87,D
17,21107140.04,B
18,15815638.73,C
19,8023556.95,A
20,20477518.77,D
21,16458435.23,D
22,3168878.45,A
23,2120899.9,D
24,19176413.23,B
25,14700015.53,C
26,13804156.89,C
27,194974.76,A
28,9233581.78,C
29,3951694.97,B
30,2261051.81,C
31,9731121.09,B
32,11567487.79,A
33,11582693.96,A
34,15567777.49,B
35,6902194.27,B
36,15913663.28,C
37,1610598.88,C
38,16037769.77,C
39,14576133.04,C
40,16713659.61,D
41,3052949.13,A
42,12711940.78,C
43,14234632.52,B
44,1417408.25,A
45,4223107.98,A
46,11262048.75,B
47,11764460.53,A
48,17738824.18,C
49,5645437.84,C
50,9344707.43,D
