id,value,category
1,13722861.87,B
2,17155566.76,A
3,19854681.18,A
4,16571596.72,A
5,14396750.11,A
6,9203888,A
7,16729512.37,A
8,7079089.28,B
9,5723464.29,A
10,10947661.23,C
11,5566809.7,B
12,6348497.94,A
13,5130653.47,B
14,17911139.46,D
15,3183745.14,C
16,16196318.91,A
17,7665105.6,A
18,16950330.93,A
19,14527381.52,C
20,20799254.94,D
21,19871830.94,C
22,17554839.69,D
23,19835792.56,C
24,4887671.56,D
25,10471410.99,C
26,2872640.93,A
27,20279342.54,B
28,15947245.44,C
29,10021737.97,A
30,7007790.3,D
31,90117.49,D
32,12356206.18,B
33,13924746.86,A
34,2015111.82,B
35,11610394.36,C
36,20931387.99,D
37,5561212.7,B
38,18087502.09,C
39,10984078.9,D
40,12358398.44,D
41,10554574.64,D
42,11276326.21,D
43,627556.14,D
44,7051821.77,C
45,4865976.36,B
46,13868055.56,D
47,14256801.79,B
48,15665299.36,D
49,4570489.38,B
50,5866772.17,C
