id,value,category
1,4989380.95,D
2,2433024.26,C
3,13300706.26,C
4,4070550.25,C
5,4853610.52,B
6,409405.99,A
7,20832208.13,A
8,6891800.36,C
9,15662113.2,A
10,16503167.94,B
11,1748451.89,C
12,9053873.1,A
13,5583393.32,D
14,6190399,A
15,11651790.11,B
16,19918096.48,D
17,556904.45,D
18,15044456.37,B
19,10070143.31,C
20,7428489.25,A
21,13286248.73,B
22,1401895.28,D
23,12726831.32,D
24,17716386.64,B
25,16712071.14,D
26,718048.23,D
27,19726459.67,A
28,16195822.87,B
29,6972963.04,A
30,20636808.89,C
31,2220531.7,D
32,19719764.15,B
33,7885047.02,A
34,5186331.95,B
35,1923175.66,D
36,5152997.69,C
37,3980731,D
38,9912543.22,B
39,17573606.28,C
40,13617751.75,C
41,13486220.43,C
42,12903238.47,A
43,3247306.76,C
44,16977550.44,B
45,10137647.93,A
46,15208968.64,C
47,17562823.74,C
48,9803341.87,A
49,9702208.11,D
50,13092384.09,B
