id,value,category
1,7453999.37,D
2,14457510.55,D
3,466878.09,B
4,4334440.56,D
5,6953551.18,D
6,8182111,C
7,3352313.18,B
8,14032210.47,B
9,19315777.25,D
10,4218492.96,D
11,1030742.93,B
12,6503320.59,B
13,21040165.11,A
14,159386.09,D
15,10424266.02,D
16,12709938.98,D
17,19937783.06,C
18,14992245.44,A
19,7196424.54,B
20,9722413.89,C
21,16636186.92,A
22,2907457.74,A
23,20654770.49,C
24,14479070.15,B
25,6807095.06,A
26,18057005.5,B
27,1920833.65,D
28,8819848.61,A
29,7892644.03,D
30,8730760.58,A
31,8675401.82,A
32,16135252.77,A
33,9074081.58,C
34,20672651.51,B
35,13216823.35,C
36,12018581.61,C
37,18118427.26,C
38,7670949.12,C
39,5189679.7,D
40,2769796.72,C
41,3432826.57,C
42,17303260.3,B
43,49187,C
44,4519195.87,D
45,1569195.44,C
46,5922691.74,B
47,13107363,B
48,17482341.53,A
49,1104738.32,C
50,6705359.48,B
