id,value,category
1,18014702.99,C
2,9127541.45,D
3,19803158.22,D
4,16544730.31,D
5,6627110.75,D
6,1264920.98,A
7,4014458.3,A
8,11059988.96,A
9,13710224.64,C
10,15023620.73,C
11,37254.95,B
12,19672189.97,D
13,1765902.6,B
14,3741057.51,B
15,11531776.33,C
16,16496402.58,B
17,6963928.34,A
18,21066557.06,C
19,8588496.74,B
20,4497753.84,C
21,8779829.58,D
22,5147173.96,A
23,1162962.54,D
24,20663882.22,D
25,3883996.93,A
26,7007633.68,C
27,9537936.93,C
28,7848147.41,C
29,7167476.24,C
30,6626131.1,C
31,13178255.15,A
32,17030681.95,D
33,20374543.65,D
34,16719325.13,C
35,18521149.59,B
36,13550752.84,A
37,19931639.28,A
38,15801896.4,A
39,2310669.48,A
40,244669,A
41,4278.31,D
42,17062162.3,B
43,18250769.48,D
44,16855230.52,B
45,18693763.9,D
46,21083232.94,D
47,2424445.76,D
48,18620815.03,C
49,10700159.55,C
50,18758270.69,C
