id,value,category
1,17241755.22,A
2,20617493.09,C
3,16467090.57,B
4,900658.91,C
5,12810758.65,D
6,6368829.34,C
7,2579539.19,B
8,9644954.62,B
9,8297314.51,B
10,20402754.22,C
11,18641046.59,C
12,6831074.97,B
13,14502251.73,D
14,18047516.39,A
15,4255893.12,D
16,14658284.73,C
17,16922706.56,B
18,7383900.08,C
19,10260445.72,B
20,6178253.75,A
21,5451975.57,D
22,20115684.53,C
23,10956012.94,D
24,13569911.28,A
25,11264533.1,B
26,3382489.27,B
27,3007616.17,A
28,18147321.46,A
29,14151287.28,D
30,15778774.21,B
31,14962864.17,B
32,6440381.96,A
33,2659070.79,D
34,15119845.15,D
35,14801639.45,D
36,5150945.15,C
37,4479329,B
38,11490200.06,D
39,8190616.16,B
40,1384162.64,B
41,10623618.54,B
42,16082478.06,D
43,8755397.89,C
44,10290863.46,D
45,10366340.94,C
46,15244924.7,C
47,11655570.27,D
48,17898889.13,C
49,5160873.13,C
50,11180773.22,B
