id,value,category
1,255462.75,B
2,4802102.35,C
3,4387608.06,B
4,13683599.48,B
5,12924116.81,C
6,5444663.37,D
7,16908133.33,B
8,7750487.04,B
9,11930391.49,A
10,13990891.64,D
11,1782803.25,B
12,3898859.37,C
13,15818265.95,D
14,9990221.15,D
15,10082535.12,D
16,1575473.17,A
17,13662298.69,B
18,8325141.95,B
19,20905832.09,B
20,10560550.93,C
21,13080953.55,D
22,20967714.86,A
23,20519487.17,B
24,19668949.73,C
25,2465087.05,D
26,8759488.82,C
27,17693624.17,D
28,20568271.32,D
29,19644606.94,B
30,5453711.67,C
31,18207428.86,B
32,6123257.79,C
33,814737.59,A
34,19592112.74,C
35,57447.95,B
36,3717999.62,D
37,7271304.9,A
38,18172418.88,B
39,20415220.07,A
40,16588304.03,D
41,871561.71,A
42,15305021.7,B
43,21186152.63,D
44,19285131.46,C
45,14822331.19,B
46,15872922.76,B
47,3533914.3,B
48,10344221.65,D
49,15126533.58,D
50,5861448.36,B
