id,value,category
1,5754965.12,D
2,3193712.6,A
3,12543655.78,C
4,13333798.43,C
5,21026617.06,C
6,15749176.57,A
7,18650863.21,D
8,4777786.78,B
9,12095714.51,C
10,14829277.55,A
11,8025261.06,D
12,4153899.52,C
13,20216548.09,B
14,8719229.04,C
15,16465068.98,D
16,12287197.07,B
17,21368856.78,D
18,15611408.75,B
19,20300812.68,D
20,14543400.57,C
21,12778844.27,A
22,21247486.15,A
23,16355831.62,D
24,7901468.72,B
25,14469853.05,D
26,20524150.05,C
27,18075566.93,D
28,366194.49,A
29,8132367.21,C
30,18348559.37,A
31,6068078.65,C
32,13217705.89,A
33,4230220.29,A
34,16434034.26,C
35,19050756.1,A
36,15568347.78,D
37,16333634.06,D
38,12018887.46,A
39,724379.98,C
40,666126.07,D
41,16501973.27,A
42,11265239.8,A
43,14403117.78,C
44,7890517.97,D
45,1161237.75,B
46,20602198.74,D
47,5208384.94,A
48,9067050.39,B
49,6668934.59,A
50,20202236.55,B
