id,value,category
1,19291180.89,B
2,7121556.47,D
3,3409528.37,B
4,351354.74,C
5,12931549.04,A
6,8793726.77,C
7,9798875.75,C
8,6913421.6,D
9,7303769.72,D
10,17723312.94,D
11,3700165.32,C
12,5993929.52,D
13,285330.07,D
14,2046202.02,D
15,14320999.88,D
16,5152580.36,C
17,579660.44,D
18,11404699.23,A
19,20482974.48,C
20,2873550.2,D
21,9307228.18,B
22,11365712.99,D
23,9837346.97,A
24,20235792.82,C
25,17781449.52,B
26,6391934.6,C
27,14895802.48,A
28,90209.33,D
29,9771807.54,D
30,15458130.82,C
31,8436088.75,C
32,3555817.66,C
33,17499231.17,D
34,13822121.78,B
35,17786421.55,D
36,3980258.65,A
37,4765353.47,D
38,10276832.25,A
39,6349621.44,B
40,17544844.65,C
41,16101176.91,A
42,15428752.61,B
43,16884273.9,C
44,2327006.83,D
45,20553921.7,C
46,19314779.03,A
47,20176568.28,A
48,11592009.42,B
49,6345592.12,A
50,2544767.79,C
