id,value,category
1,698241.49,C
2,9931774.99,B
3,14843210.29,C
4,20184947.65,C
5,15853375.01,D
6,13152753.53,D
7,11987734.35,A
8,17519829.72,A
9,16350364.94,D
10,14144729.08,D
11,767498.24,A
12,12967715.3,A
13,20980810.54,A
14,1210230.61,B
15,18378100.48,D
16,9527138.4,C
17,9864322.13,D
18,17573945.83,A
19,3179940.02,D
20,8235115.72,C
21,9806782.36,B
22,9623503.72,A
23,330789.45,D
24,7312672.46,C
25,18467684.83,D
26,9034589.41,D
27,4121645.6,C
28,20977907.12,A
29,8220.69,D
30,12435293.02,B
31,5679395.51,C
32,1943080.22,B
33,1501713.2,D
34,12939869.55,D
35,9475775.09,A
36,20852216.2,D
37,1086546.71,B
38,7136281.69,A
39,928429.08,B
40,15768934.3,A
41,12150724.68,A
42,8078173.87,B
43,7214861.51,D
44,13174232.4,A
45,5328067.58,B
46,19350858.91,D
47,21046218.45,B
48,16110883.27,C
49,4434652.46,A
50,8457465.83,D
