id,value,category
1,8559001.76,C
2,11940334.96,A
3,7796844.15,D
4,21201952.53,B
5,5025658.3,A
6,395717.09,A
7,1424252.59,B
8,3334133.25,D
9,1008915.9,A
10,1126390.72,B
11,10108685.45,C
12,4082141.66,B
13,5255865.86,C
14,8490606.16,A
15,989555.24,D
16,4906433.56,B
17,14436748.5,C
18,14179019.19,B
19,1322374.87,D
20,4862004.84,D
21,18305545.48,C
22,10748613.26,C
23,9036627.04,B
24,5405466.15,B
25,11814902.96,D
26,5348880.6,C
27,15642940.42,B
28,17832454.57,C
29,9360148.48,C
30,296295.04,B
31,15430709.06,A
32,8789330.64,A
33,5427082.24,D
34,2776770.15,A
35,13665517.9,B
36,10066073.45,C
37,505758.21,D
38,1317349.72,C
39,19133014.65,B
40,1799929.68,C
41,16784786.91,B
42,11359768.68,D
43,18683006.38,A
44,5126386.06,B
45,18239005.17,C
46,18103980.07,D
47,18813833.6,C
48,5436701.02,B
49,12587291.11,B
50,12571614.94,C
