id,value,category
1,8313107,D
2,15104065.47,A
3,5511447.22,A
4,19256685.74,B
5,1261661.78,C
6,21336159.29,C
7,20839178.16,D
8,20517682.8,B
9,11415307.65,A
10,14515046.15,D
11,14935177.23,D
12,8039946.92,B
13,5528190.79,B
14,6499737.84,D
15,12628313.25,D
16,10882952.96,D
17,5140466.61,D
18,1020973.66,D
19,11060888.25,D
20,1683517.86,D
21,18989022.09,B
22,16106907.59,C
23,12205179.74,D
24,18065167.7,C
25,7023715.56,B
26,3287376.81,B
27,3756509.25,B
28,20566496.35,B
29,3720883.09,C
30,9394853.78,D
31,8972796.05,D
32,19549226.36,D
33,4109587.17,C
34,9275508.26,A
35,1791658.95,A
36,6441333.53,C
37,277286.82,C
38,11784647.31,A
39,1523872.99,D
40,1035969.91,A
41,7789552.84,B
42,4296209.61,A
43,10465708.62,B
44,4533081.79,D
45,1974468.29,A
46,13553088.41,A
47,911345.43,B
48,5446008.52,C
49,6207030.34,D
50,9185323.55,B
