id,value,category
1,6054811.82,C
2,20921506.77,B
3,6378883.3,B
4,21372351.14,D
5,7359531.79,A
6,9779867.97,A
7,15995744.72,A
8,6605107.95,A
9,11107804.46,B
10,15018965.96,C
11,9732883.04,C
12,6459683.46,A
13,882552.41,C
14,3233158.67,D
15,19919477.54,C
16,2014216.26,B
17,13260780.24,D
18,5582270.36,A
19,15880884.72,A
20,6889901.43,C
21,1186172.3,D
22,20856732.91,C
23,12489033.87,A
24,6284109.22,C
25,587334.63,D
26,1653234.25,A
27,5325773.75,C
28,15826450.94,C
29,16455929.88,B
30,13532800.66,C
31,1840426.21,D
32,17695264.56,B
33,18293658.03,C
34,18655564.63,A
35,13581651.69,D
36,13327122.46,B
37,11864303.57,C
38,12399185.83,B
39,13192552.36,D
40,6163291.87,D
41,8827168.14,A
42,20987421.28,B
43,4327331.67,D
44,15253240.56,D
45,12909272.79,D
46,4125310.59,C
47,13540594.1,B
48,3469364.95,C
49,20776187.96,C
50,2879195.86,A
