id,value,category
1,5464517.41,D
2,18545842.05,A
3,15067654.95,A
4,9054724.67,A
5,3538332.09,A
6,11094977.58,D
7,17534336.4,B
8,21357404.67,B
9,1136057.66,C
10,15212883.02,B
11,11185601.18,B
12,20667105.02,D
13,20046047.47,D
14,17456382.56,A
15,2151270.33,C
16,3165837.12,B
17,2399835.12,C
18,7136472.04,C
19,4619504.42,C
20,4423446.45,B
21,1216971,A
22,10659466.66,C
23,4835304.25,D
24,6215707.45,B
25,9999380.17,D
26,7235933.37,C
27,20703582.98,D
28,14922111.56,B
29,19952342.91,B
30,9362477.23,B
31,19688397.2,D
32,18989428.18,C
33,1347956.97,C
34,11016437.81,B
35,2799823.45,B
36,11282506.96,B
37,20809764.18,B
38,17771794.04,A
39,18301108.56,D
40,6192525.09,D
41,15603413.46,A
42,11511932.15,C
43,4314270.66,D
44,1204168.6,B
45,2818653.11,A
46,15054226.43,C
47,9562056.3,C
48,197559.34,D
49,15396255.4,C
50,18655404.34,D
