id,value,category
1,5586819.53,A
2,3121884.14,D
3,1267916.92,C
4,19204869.16,D
5,1201646.64,C
6,15029638.73,C
7,17481591.89,B
8,2718786.7,A
9,5429287.29,A
10,15102041.83,A
11,6663142.09,D
12,16784231.23,C
13,532707.35,B
14,3896428.25,D
15,19863975.89,D
16,12347185.69,B
17,20699823.53,A
18,20373837.2,B
19,4473544.45,B
20,21300560.23,D
21,7305104.79,D
22,8201543.27,A
23,13818547.93,B
24,13026952.88,D
25,11530118.3,B
26,17850116.43,B
27,11344724.66,D
28,19170248.87,A
29,12754881.24,B
30,1254520.94,C
31,8842516.69,C
32,8975950.87,D
33,4041438.49,C
34,12171298.55,C
35,13025467.05,A
36,12819460.01,D
37,20702241.93,B
38,11675081.42,A
39,709255.28,A
40,11752677.4,D
41,13210462.59,D
42,8877499.27,B
43,16991522.83,C
44,17058701.79,B
45,12586857.96,D
46,17229475.16,D
47,16735743.39,C
48,17542872.09,D
49,15932852.11,A
50,11337676.4,C
