id,value,category
1,3523879.5,D
2,16639923.93,B
3,2783714.81,A
4,2515457.78,D
5,16120759.27,D
6,7225761.84,A
7,2882818.07,C
8,20101489.02,B
9,16046002.33,D
10,3830461.09,D
11,10039103.69,D
12,14472062.97,A
13,18527054.06,D
14,9188432.92,B
15,6390144.12,A
16,20917320.07,B
17,18215145.15,B
18,9319543.13,A
19,10919397.37,C
20,9075029.26,A
21,13930385.86,B
22,13297009.15,D
23,8904913.67,A
24,4648827.77,C
25,12564874.48,B
26,3440118.17,D
27,16373412.58,B
28,20943068.74,B
29,2776266.27,D
30,3394483.06,C
31,10330537.08,A
32,141663.08,B
33,11828557.4,A
34,14328741.17,D
35,15455512.65,D
36,11327799.99,A
37,12280106.18,B
38,17149293.66,D
39,15728443.74,C
40,11566645.83,C
41,14822499.4,A
42,5573137.12,A
43,19387666.4,B
44,17442653.72,A
45,12223353.64,D
46,16861889.91,A
47,8186673.58,C
48,15452679.33,B
49,11591104.84,A
50,1603177,A
