id,value,category
1,17575359.65,D
2,19595677.27,C
3,1878.17,A
4,18350530.23,A
5,2219170.43,C
6,9410662.4,D
7,6845009.13,A
8,7610641.96,A
9,8849622.66,A
10,8105652.31,B
11,9880616.16,B
12,9349638.65,A
13,8640310.84,C
14,8571921.76,C
15,4351652.86,C
16,11895639.05,C
17,15120910.31,D
18,19794593.6,D
19,5834011.39,B
20,20711186.3,B
21,17453221.29,B
22,12573411.73,D
23,611711.02,C
24,10423889,B
25,6851499.87,D
26,13275845.01,D
27,18706016.14,A
28,3620870.65,B
29,18660142.38,C
30,10543545.84,A
31,6415158.02,D
32,4742736.89,B
33,14075018.71,D
34,15789252.37,A
35,17692249.3,C
36,19265647.01,D
37,16271448.08,A
38,10224640.43,C
39,1757064.49,B
40,19607541.89,B
41,4896953.2,C
42,18941107,A
43,2973659.31,A
44,15137238.37,D
45,14976777.82,D
46,3762865.63,B
47,223797.69,D
48,18853066.47,B
49,964323.67,A
50,15204034.35,C
