id,value,category
1,2070655.73,C
2,12134824.36,C
3,3302084.25,D
4,1073611.83,D
5,14398317.69,B
6,13081023.06,B
7,2736066.1,A
8,19493428.43,C
9,1597503.5,B
10,15103044.01,B
11,11511329.67,B
12,6537086.47,C
13,1154163.32,C
14,6130369.53,D
15,14331277.05,D
16,2581700.67,C
17,3143621.4,A
18,141924.75,D
19,20224043.33,A
20,14083378.96,C
21,14334367.94,B
22,20349003.45,D
23,14756910.6,D
24,18160240.46,C
25,15459192.56,A
26,12079266,B
27,15080290.08,B
28,15826229.56,A
29,20039636.65,A
30,18297185.45,C
31,13158350.45,A
32,5990448.5,A
33,15531331.98,B
34,7109664.41,D
35,2545426.48,B
36,18652253.29,B
37,775838.3,B
38,21149854.05,B
39,20363878.89,B
40,8118177.34,D
41,7847809.94,C
42,3064346.23,D
43,2084901.1,D
44,866540.84,A
45,17722434.33,C
46,11555441.28,A
47,2865450.01,A
48,8473238.4,C
49,7176541.41,A
50,14823511.11,C
