id,value,category
1,14237321.2,D
2,20311697.3,D
3,10483672.99,D
4,11472318.57,D
5,5059835.83,C
6,20504787.59,C
7,7345330.34,D
8,20749966.65,A
9,16218199.94,D
10,4565068.11,C
11,6093818.68,A
12,19070768.42,D
13,6122192.12,D
14,5217657.1,D
15,16443473.93,B
16,15705886.67,D
17,6609775.77,D
18,20671232.7,A
19,20452216.05,A
20,14851654.78,D
21,3873023.85,C
22,6621228.91,B
23,12670205.69,A
24,9080089.23,A
25,1658854.34,A
26,10995192.44,B
27,12095200.14,D
28,17399603.22,D
29,12033770.26,A
30,14930849.38,A
31,8246620.42,C
32,6012914.14,C
33,2394958.7,A
34,8009551.94,D
35,10560843.04,A
36,3040988.38,D
37,3919093.76,C
38,15558335.91,C
39,21158798.75,D
40,4796809.03,A
41,10748654.73,A
42,5715282.59,D
43,5757021.28,B
44,13532961.54,D
45,14900881.45,D
46,13462688.6,C
47,2485587.23,C
48,17334658.32,A
49,15352937.38,C
50,10726495.48,B
