id,value,category
1,10856971.04,A
2,3349169.84,B
3,5647277.49,C
4,5244189.45,A
5,473697.72,C
6,15808195.09,C
7,866433.33,B
8,7209475.44,B
9,19742197.45,A
10,4093624.4,B
11,9106520.97,A
12,18447576.61,B
13,7233112.13,B
14,6372742.2,A
15,7911718.11,C
16,16866852.37,B
17,13658084.87,D
18,21121991.5,D
19,18509418.04,B
20,2579004.47,D
21,10422258.33,B
22,21134066.22,D
23,4297215.98,C
24,14671314.16,A
25,14721856.39,D
26,8085772.57,B
27,13579704.11,B
28,20452947.04,B
29,15644868.07,B
30,10110565.74,D
31,2605405.3,D
32,4490921.75,D
33,9441994.51,C
34,16799994.16,A
35,12037548.08,B
36,8774160.99,B
37,9226578.97,C
38,10987705.11,D
39,18356314.4,B
40,1297482.53,C
41,16312986.4,D
42,13480886.7,C
43,10360197.87,A
44,20272989.17,A
45,4558313,A
46,10354369.44,A
47,20949482.96,A
48,2780901,D
49,6101537.44,C
50,4159126.49,A
