id,value,category
1,468888.11,C
2,17675825.5,C
3,12629048.16,B
4,15390011.32,C
5,17942068.18,C
6,9068671.81,A
7,9288881.97,A
8,8700947.61,C
9,14569284.07,B
10,15431728.62,C
11,18182048.23,B
12,12515770.97,D
13,19550762.23,A
14,5406715.17,A
15,4040461.4,A
16,5711.85,A
17,7251081.86,D
18,8553519.24,D
19,19205053.36,A
20,17717813.62,A
21,1000891.57,B
22,5795566.28,B
23,4505818.33,D
24,13810287.12,B
25,7004572.01,B
26,12068916.06,A
27,3529706.06,A
28,17579563.18,C
29,19140400.3,A
30,15827490.03,C
31,9720471.08,D
32,2536770.15,C
33,13705397.92,D
34,3149126.33,D
35,16785415.32,C
36,2951877.82,D
37,1962069.82,B
38,14305050,D
39,14635980.65,B
40,11901890.41,A
41,1211347.14,B
42,12425086.56,D
43,11444891.15,A
44,1315908.83,D
45,5352769.67,D
46,18434656.67,D
47,16901311.68,B
48,6748803.25,C
49,21126773.69,D
50,16159924.54,D
