id,value,category
1,17149998.23,D
2,1931749.09,A
3,15802889.71,C
4,4835604.41,B
5,20123330.35,C
6,1711681.4,B
7,6937683.63,C
8,18476634.7,D
9,18447252.65,A
10,348986.17,D
11,18421976.75,A
12,17031912.23,C
13,19163515.4,B
14,1527145.3,B
15,20814373.37,B
16,15243405.28,D
17,3795944.92,C
18,3202958.92,C
19,13032632.5,C
20,2044289.83,A
21,15284149.75,B
22,6284232.85,C
23,7964585.3,C
24,9109572.27,A
25,4523270.03,B
26,9986540.99,A
27,28778.03,C
28,15496594.15,B
29,6540058.06,A
30,2207153.85,C
31,16667148.9,A
32,2766108.5,D
33,4156544.82,B
34,17751372.84,D
35,4566753.5,D
36,8729220.16,A
37,13690443.57,A
38,16084683.97,D
39,14261876.26,D
40,18205927.25,C
41,12421680.8,B
42,13968432.77,D
43,2728319.58,B
44,20087473.64,B
45,9103129.33,B
46,16827820.4,C
47,10222203.49,D
48,18185694,A
49,15406130.08,C
50,9278146.29,C
