id,value,category
1,9270921.63,C
2,5631795.21,A
3,2915840.82,C
4,3686179.9,D
5,16102705.06,D
6,8574485.83,D
7,2774056.85,B
8,3662833.57,D
9,5603973.04,D
10,12130863.95,B
11,5493922.28,A
12,2965044.57,B
13,14336659.47,B
14,16418972.91,C
15,14734906.18,A
16,16353764.19,D
17,7880848.48,C
18,6627364,C
19,16078129.89,B
20,7773913.46,B
21,19155736.75,C
22,8292766.41,A
23,4326712.9,D
24,10255300.7,A
25,12910744.79,C
26,1566727.06,D
27,2397323.77,D
28,3386003.05,D
29,20283154.12,B
30,9477551.54,C
31,1022076.24,C
32,2344489.06,D
33,11581685.85,B
34,775873.69,B
35,8615898.9,A
36,19713493.48,C
37,10495900.05,B
38,6987154.39,B
39,1282749.05,D
40,14553646.26,B
41,10204263.83,D
42,20850183.51,D
43,14266931.55,C
44,13982400.17,D
45,9167327.37,C
46,6365683.19,D
47,5772540.96,C
48,18675790.32,C
49,18381949.06,A
50,9045527.97,D
