id,value,category
1,9476535.96,D
2,11426148.9,C
3,4944441.91,D
4,5032082.02,A
5,16377193.77,C
6,4283688.42,A
7,18967054.84,B
8,2288593.15,D
9,18609635.57,A
10,15291891.13,D
11,16329005.65,B
12,14223194.09,C
13,13476963.45,B
14,8708697.4,A
15,12386934.01,D
16,1780367.87,B
17,17840797.17,A
18,1434614.49,D
19,12343839.45,C
20,709681.49,A
21,14004216.48,A
22,4497033.65,D
23,3427347.34,B
24,12707816.83,C
25,20672089.77,A
26,19816920.4,C
27,11787407.15,A
28,7145668.39,A
29,772277.85,B
30,11490680.61,A
31,12946413.53,C
32,10638205.48,D
33,8623099.38,B
34,19889150.6,D
35,2583839.36,A
36,8058815.79,D
37,19005601.71,A
38,2206303.4,A
39,12480402.83,C
40,11198418.39,D
41,17759416.7,B
42,16402858.29,B
43,6933630.85,D
44,13047833.1,C
45,16148573.01,D
46,11079714.38,B
47,11671682.18,B
48,10906588.02,A
49,9397579.01,D
50,20691922.28,C
