id,value,category
1,16528281.16,C
2,15930482.13,A
3,6266556.29,D
4,11494566.62,D
5,20433604.08,D
6,7988084.75,B
7,19461179.7,A
8,12064697.28,A
9,16843691,C
10,9314134.18,B
11,17121279.53,C
12,1342521.89,A
13,18902811.16,A
14,3049244.45,B
15,10979582.97,D
16,1770852.69,C
17,19712618.03,C
18,13866569.49,B
19,15763520.71,D
20,6815068.13,B
21,15816888.31,A
22,9128682.46,A
23,18216622.73,D
24,1149858,D
25,11236159.64,D
26,6647714.72,C
27,2998814.59,A
28,3288621.4,A
29,9582655.41,B
30,20011157.7,C
31,7129302.12,C
32,16193073.23,B
33,1190757.97,A
34,2915739.75,B
35,4443733.51,D
36,19422223.93,A
37,19704110.21,A
38,6321925.97,C
39,888278.19,B
40,6160048.07,D
41,16915826.54,C
42,10662460.17,B
43,19434066.54,B
44,3063694.57,A
45,20842592.17,B
46,16566294.31,A
47,6456367.51,B
48,1417121.22,B
49,6370426.75,C
50,17414308.02,B
