id,value,category
1,15790094.43,B
2,11168195.97,B
3,5980290.62,C
4,3437837.33,C
5,17156458.1,D
6,14539165.79,C
7,9747211.1,C
8,2875938.1,A
9,7237416.63,A
10,8659391.43,D
11,16570180.68,B
12,16923467.47,A
13,12456806.98,B
14,18342508.23,B
15,8765554.49,D
16,16604013.42,A
17,8069113.52,D
18,10398833.08,C
19,15884525.27,B
20,15265514.79,D
21,13767.59,D
22,4670756.56,D
23,16294825.52,B
24,17484863.02,A
25,9630232.38,B
26,17218095.25,D
27,5759631.44,A
28,8749474.32,B
29,4637176.21,B
30,15631500.49,B
31,16713338.3,D
32,8182695.01,C
33,9211152.17,C
34,18173980.69,A
35,4671404.28,C
36,1974180.33,D
37,10427952.66,D
38,18013695.91,B
39,9537439.42,C
40,10889672.01,D
41,6825363.67,D
42,21459821.86,D
43,18788684.49,B
44,819393.91,D
45,359903.52,D
46,15524869.65,D
47,1198315.28,C
48,12025379.85,C
49,12802394.69,C
50,15921004.25,C
