id,value,category
1,8188183.58,D
2,4311984.39,D
3,7578228.03,B
4,19006259.1,C
5,14873988.16,C
6,5125177.38,C
7,12850073.74,C
8,14796068.48,B
9,13688952.98,C
10,7812078.59,B
11,20247692.06,A
12,9378218.96,A
13,12104019.73,C
14,15927146.49,C
15,5825677.31,B
16,13540328.94,D
17,15024835.15,D
18,18825880.24,D
19,15921913.78,D
20,20841952.2,B
21,10614984.56,B
22,10208272.85,A
23,6338760.58,A
24,17906233.91,C
25,12903215.03,D
26,9217460.1,D
27,12087651.5,A
28,9332987.6,D
29,16279924.54,B
30,14620180.42,B
31,21081013.8,C
32,14371470.58,D
33,21419796.07,D
34,5111259.82,B
35,9289326.52,B
36,14021848.8,C
37,17555901.81,D
38,9994656.86,A
39,6552402.73,C
40,6072083.09,C
41,19747460.52,A
42,4670177.91,A
43,18852829.29,A
44,3521741.47,B
45,5984097.78,A
46,16564584.05,C
47,593256.63,D
48,8403034.47,A
49,10464703.13,B
50,5386735.73,D
