id,value,category
1,1336295.62,C
2,6711135.15,C
3,12848810.11,B
4,17280889.04,C
5,2329425.96,D
6,1990589.77,B
7,2022741.41,C
8,17055157.97,B
9,16716558.44,B
10,18706290.03,B
11,1875300.56,D
12,3537095.1,A
13,4851528.65,B
14,1205571.96,B
15,17895658.89,D
16,12124223.74,B
17,7281361.68,C
18,9878961.76,B
19,5975256.13,D
20,17365358.78,D
21,18746641.83,B
22,2273921.98,D
23,3411444.76,A
24,6177062.19,B
25,2510301.29,A
26,18789828.42,D
27,12441103.86,C
28,12180045.4,A
29,5372845.27,D
30,3642770.29,C
31,12528322.14,B
32,13720190.97,D
33,20855389.61,A
34,10210735.57,A
35,745332.37,D
36,12136672.23,D
37,7758190.34,B
38,4721294.9,D
39,16125567.32,B
40,9960788.87,A
41,8465725.16,C
42,3460751.43,D
43,13478044.7,A
44,1208213.81,C
45,14087407.13,A
46,126413.13,C
47,4072471.47,C
48,746325.17,D
49,6194421.71,D
50,4723135.23,B
