id,value,category
1,9459411.12,B
2,18321978.43,C
3,15560519.06,A
4,15233722.48,B
5,14705404.38,A
6,3816166.75,A
7,15790796.69,D
8,887429.08,B
9,6401235.13,B
10,13881921.86,C
11,4253672.21,B
12,10880815.1,D
13,5858532.65,D
14,4420251.06,D
15,20439320.8,A
16,17509009.45,A
17,15972840.89,A
18,2452148.28,B
19,18531647.11,B
20,12243392.69,C
21,18609642.74,A
22,19169399.34,A
23,20862170.63,C
24,4055274.49,C
25,3662906.43,C
26,20133046.51,D
27,495193.05,D
28,7320578.09,D
29,17424804.29,B
30,20668016.76,D
31,164233.06,B
32,4551381.11,D
33,21041992.21,D
34,7163319.59,B
35,15099750.8,C
36,21408536.59,C
37,4273841.79,B
38,5853271.45,A
39,8925585.15,A
40,10690306.26,A
41,8103094.39,C
42,21344138.53,C
43,7549505.44,D
44,6546129.63,C
45,6341520.81,B
46,20984366.8,B
47,15050325.82,C
48,18557447.99,D
49,18560702.11,A
50,2177300.51,D
