id,value,category
1,8576571,A
2,10411793.41,A
3,6577534,C
4,3544267.17,A
5,3144009.01,D
6,6337400.7,A
7,1199445.01,A
8,18375718.99,D
9,4338160.93,C
10,3500529.27,D
11,1149354.03,B
12,8538614.68,D
13,2024067.9,C
14,1641973.24,B
15,4407410.27,A
16,4475426.47,C
17,9463820.18,D
18,5142411.67,C
19,9176537.83,A
20,18318239.18,D
21,11087151.82,A
22,14595875.9,B
23,6902073.83,C
24,17712463.02,D
25,4707982.43,C
26,12792066.44,B
27,10023208.58,A
28,1599785.49,A
29,11598042.43,D
30,12547644.88,C
31,19199404.68,B
32,6591499.99,B
33,7887283.71,C
34,20721217.31,D
35,3004347.3,A
36,2518613.48,B
37,17090941.79,D
38,18829258.7,A
39,2427440.75,A
40,2007593.11,C
41,2220221.73,C
42,6338001.08,A
43,10720162.2,A
44,18777360.13,A
45,16822432,C
46,9122609.8,C
47,21392898.41,D
48,20679785.29,C
49,2417460.23,B
50,15322798.48,A
