id,value,category
1,15196412.54,D
2,12569298.88,C
3,7427629.54,D
4,5951316.69,C
5,7875591.51,D
6,1313128.63,D
7,20205170.67,A
8,19056404.57,B
9,16299557.27,C
10,17091306.08,A
11,182917.82,A
12,6995054.46,B
13,7357328.56,A
14,5809918.15,B
15,5286871.36,A
16,19723332.77,D
17,8711577.66,C
18,7389362.52,C
19,5448919.32,D
20,19528327.91,B
21,20247407.88,B
22,16296302.85,B
23,14495016.08,D
24,14752681.43,D
25,3763246.62,B
26,16137617.99,C
27,12979147.52,A
28,2317646.49,C
29,10414726.68,D
30,2852339.52,C
31,8251482.84,C
32,8778203.54,B
33,4043500.78,B
34,16195961.02,A
35,18559706.09,A
36,8301170.34,A
37,2245024.63,C
38,20396598.02,D
39,21297439.61,C
40,20127901.45,D
41,14796290.64,A
42,7423702.57,C
43,8784289.58,B
44,15779916.58,B
45,20663005.19,C
46,860464.82,C
47,16848498.15,D
48,14423458.47,C
49,15949202.57,B
50,15426025.77,A
