id,value,category
1,12592924.32,A
2,16466255.95,A
3,15572092.47,A
4,19454745.43,D
5,2817716.11,B
6,12910939.17,D
7,6197863.48,B
8,6321556.13,D
9,7043179.26,B
10,12791789.52,B
11,9455414.06,B
12,18587706.9,C
13,13792327.52,D
14,20052793.69,B
15,2378063.28,D
16,2267658.63,B
17,11000937.59,B
18,10065006.36,A
19,18147148.12,C
20,21008903.65,C
21,2056229.32,C
22,19601933.73,B
23,5167271.4,A
24,20639105.14,C
25,14898710.79,B
26,1536550.92,D
27,3144281.12,D
28,10639132.03,A
29,3929609.98,A
30,18264239.39,D
31,2909835.01,D
32,10096019.3,B
33,18933922.76,B
34,10119173.78,B
35,16087450.26,D
36,10444014.64,B
37,8085425.59,D
38,10522291.61,D
39,16036269.55,B
40,3150657.59,D
41,12895019.42,A
42,20627028.4,B
43,1417529.13,B
44,12058979.13,A
45,15165023.63,C
46,2684235.06,B
47,11476894.73,C
48,8100372.16,A
49,7664353.99,A
50,8762170.32,D
