id,value,category
1,6214480,A
2,12452308.49,A
3,2251498.95,A
4,13529920.88,A
5,12299546.71,D
6,6367613.35,B
7,18395172.35,A
8,6841359.56,C
9,19369604.15,C
10,9485355.3,B
11,15978220.59,B
12,9225830.68,A
13,15973572.52,B
14,14714879.55,D
15,3674509.49,B
16,2571357.87,B
17,17598546.19,A
18,1347038.67,B
19,3608334.49,A
20,10658781.97,C
21,6990770.69,A
22,15932487.39,D
23,15563136.42,C
24,11915447.82,D
25,11633636.43,C
26,19843773.56,D
27,6154065.12,D
28,18547183.74,C
29,18923376.36,B
30,13131418.73,B
31,8474339.09,D
32,914462.67,C
33,11646001.43,B
34,16097763.32,C
35,12921582.35,A
36,20291330.47,C
37,11369443.04,C
38,5601892.73,A
39,1393149.42,D
40,21229906.69,A
41,19302946.58,C
42,20941003.47,D
43,9053275.22,C
44,5660643.61,D
45,13529593.91,C
46,9394623.35,B
47,21407528.91,B
48,18812699.26,B
49,15706758.94,C
50,5902570.6,D
