id,value,category
1,11141237.73,B
2,10481981.37,D
3,20105501.37,A
4,10972877.47,A
5,8252232.79,D
6,9382868.25,D
7,18911440.16,C
8,2353860.12,C
9,15784770.23,D
10,1313870.8,D
11,14085353.99,B
12,21203177.01,B
13,690647.27,B
14,5791804.85,C
15,4972401.33,D
16,12431101.05,A
17,14480697.26,D
18,18496605.91,A
19,731314.64,A
20,7333304.29,D
21,5526334.39,B
22,18219127.64,D
23,241537.5,C
24,2148357.83,B
25,54522.82,A
26,17660845.87,D
27,16140262.81,A
28,1055285.18,B
29,9385422.12,D
30,13493919.78,C
31,8798879.23,B
32,20557799.09,C
33,5045325.93,A
34,10652544.58,D
35,10590114.36,A
36,8565546.17,A
37,11477897.37,B
38,6813701.49,D
39,21421976.88,A
40,4560639.18,B
41,16165059.55,C
42,9201578.07,C
43,11307209.7,C
44,10862382.64,B
45,3662319.05,C
46,5099793.19,D
47,11359667.35,B
48,14434708.41,B
49,5075768.75,C
50,1529237.67,A
