id,value,category
1,21438212.34,C
2,17695063.08,B
3,11943105.6,D
4,17038207.13,D
5,20206323.02,B
6,879589.18,A
7,12615523.57,B
8,19108885.3,A
9,12377653.42,A
10,18173471,D
11,8269111.05,D
12,19855897.9,B
13,1055599.1,B
14,12961971.76,C
15,17543731.15,A
16,9190396.64,B
17,20465873.23,A
18,17958733.52,C
19,17499558,B
20,2549485.84,B
21,754251.42,D
22,13806695.43,D
23,10640664.61,B
24,298424.45,A
25,13629538.19,C
26,20155605.8,C
27,10835584.35,C
28,16782219.06,A
29,6092624.75,A
30,6679281.4,B
31,591544.21,C
32,10499428.72,C
33,7483795.34,C
34,1325550.96,D
35,9227259.8,D
36,17295315.65,A
37,7494959.46,D
38,875842.45,B
39,4298339.19,C
40,1432046.81,D
41,7462832,B
42,6134720.59,A
43,11459833.18,B
44,8001786.62,D
45,11183001.28,A
46,15404704.92,D
47,17874412.98,B
48,13242056.37,C
49,20820589.47,B
50,14523144.09,D
