id,value,category
1,14588544.83,C
2,2435978.17,A
3,14299729.78,B
4,18559322.55,A
5,12324242.34,C
6,15028526.25,B
7,6799282,A
8,6412635.77,C
9,13888463.43,C
10,20731533.41,A
11,18014648.89,A
12,16671146.01,C
13,11987820.73,D
14,18938067.6,B
15,5900036.55,C
16,4532073.8,D
17,1331979.99,C
18,12550602.55,C
19,8696778.47,D
20,6806837.39,B
21,10601165.81,A
22,11788262.01,B
23,3413138.16,B
24,19912859.5,A
25,186187.86,D
26,9270095.59,C
27,7090258.38,C
28,2398635.13,C
29,17929382.17,C
30,1401827.42,A
31,7813771.35,C
32,15195084.59,A
33,15927276.33,C
34,3771605.75,B
35,8321651.66,D
36,1789054.42,C
37,12276370.96,B
38,17664106.24,B
39,12710706.32,A
40,12291495.38,B
41,13425822.44,A
42,1663347.65,C
43,16201006.2,B
44,12094742.24,B
45,5175672,B
46,15442555.61,B
47,17939840.09,B
48,7496863.1,B
49,9638971.52,B
50,14799893.63,C
