id,value,category
1,12251456.47,A
2,9628580.58,A
3,455634.01,A
4,2703655.11,D
5,1151818.88,B
6,771482.31,B
7,9784945.79,D
8,19022677.29,B
9,10301959.34,C
10,470601.59,B
11,17928099.39,D
12,4750737.42,C
13,10103859.04,D
14,9477999.2,A
15,10213009.07,C
16,16267905.47,A
17,6849277.21,B
18,8945868.56,A
19,19189810.98,B
20,17125748.78,A
21,10967772.3,A
22,6306443.43,C
23,1694104.25,D
24,3856576.95,C
25,15606034.02,C
26,2615731.27,B
27,12970297.87,D
28,18209146.24,A
29,20138241.57,C
30,14918617.75,B
31,16069422.52,D
32,14418877.61,C
33,2687810.31,A
34,1683051.68,B
35,19453356.93,A
36,15458153.72,A
37,7989774.73,A
38,19058267.99,D
39,9736774.2,D
40,9708259.62,D
41,10156468.33,A
42,6947850.57,A
43,9242101.59,B
44,17748030.34,D
45,15382449.71,A
46,311096.93,D
47,4954638.58,C
48,19990318.75,C
49,11039160.98,B
50,13634601.3,A
