id,value,category
1,20774568.46,A
2,13114297.36,B
3,3445268.18,C
4,17483916.27,D
5,686667.82,B
6,14767159.01,B
7,1571838.7,A
8,5489860.95,A
9,1163973.67,C
10,19567419.26,B
11,15141805.77,D
12,16895215.2,C
13,17447027.62,C
14,8196311.04,B
15,2064318.43,B
16,13873274.36,A
17,15808761.56,D
18,8340954,A
19,3795375.95,A
20,18383471.8,C
21,13035329.11,C
22,3582812.85,C
23,19674086.74,B
24,5405008.23,C
25,8797326.99,C
26,10394507.54,D
27,6522325.6,C
28,606936.86,C
29,8943733.11,A
30,10533001.05,A
31,16884918.37,D
32,5059058.31,A
33,20760378.88,C
34,15960385.18,B
35,10365611.98,A
36,8956902.87,D
37,20460324.43,C
38,2992052.36,B
39,3349179.93,A
40,10545626.69,D
41,5008967.26,C
42,7262608.1,C
43,20431618.12,D
44,1102336.32,D
45,3918205.53,C
46,8782540.26,C
47,18919213.04,B
48,10890564.66,D
49,16009137.73,A
50,7194067.27,A
