id,value,category
1,2032328.89,D
2,6598974.12,D
3,18459359.71,B
4,15445336.06,C
5,3976003.53,A
6,19776848.36,B
7,839845.99,B
8,3121549.16,B
9,17960779.21,A
10,11659836.96,D
11,13273911.77,B
12,9941470.76,A
13,11432910.73,D
14,11328463.36,A
15,11903538.49,A
16,19215499.46,C
17,13225307.27,D
18,8189544.76,D
19,11122615.15,A
20,1014447.35,A
21,12090343.15,D
22,17969692.05,D
23,5406441.88,A
24,6297944.55,B
25,8140192.04,B
26,16339071.4,D
27,3460759.96,B
28,9649650.42,D
29,13045133.94,C
30,11576086.11,A
31,732121.83,A
32,14224236.85,B
33,6761354.73,A
34,21069978.54,B
35,2634222.14,B
36,4395026.99,D
37,17065735.26,C
38,16022436.21,C
39,19219064.57,C
40,16259194.87,C
41,11168835.07,A
42,9712143.55,A
43,13903991.59,B
44,6404722.83,B
45,10816558.57,B
46,5816178.14,D
47,13372794.34,D
48,20416410.51,D
49,13137186.19,B
50,16852775.68,A
