id,value,category
1,17839986.07,B
2,1703868.13,C
3,3973615.94,C
4,6576371.15,D
5,8614951.68,A
6,11776451.94,B
7,13987929.4,C
8,18527824.5,A
9,6387074.87,D
10,11359850.81,C
11,12791810.83,D
12,2566926.22,A
13,19896363.81,C
14,6035902.23,D
15,3242992.15,D
16,6051666.49,D
17,14995973.02,C
18,3941979.57,A
19,21013966.81,B
20,3633705.15,A
21,657260.35,A
22,15592745.51,C
23,6732177.46,D
24,13914668.44,C
25,15141432.34,C
26,50447.07,A
27,10444722.69,D
28,14982025.96,D
29,352154.24,D
30,17094373.75,B
31,4571494.24,B
32,3440472.16,D
33,2119335.07,A
34,14764310.17,B
35,10979694.22,A
36,16531258.24,D
37,6759517.41,D
38,15381255.03,A
39,15617874.54,B
40,4360268.21,C
41,7181236.32,B
42,13632224.66,A
43,6183908.55,C
44,5844580.98,A
45,2363925.98,B
46,9772559.83,A
47,8463956.19,D
48,4227231.69,C
49,2221422.03,B
50,140273.35,B
