id,value,category
1,17434105.64,D
2,6254994.73,A
3,20767995.52,D
4,16666967.05,B
5,7067361.76,A
6,18280881.8,C
7,17293337.23,B
8,3767499.43,A
9,19647235.51,C
10,56633.56,C
11,19016434.86,B
12,14761322.66,D
13,11879841.44,A
14,11428367.84,C
15,2080912.61,D
16,17114882.42,D
17,19495115.56,C
18,17835425.91,B
19,9029404.1,C
20,11523565.95,C
21,4328500.92,A
22,13361984.26,A
23,11406567.98,D
24,11237315.81,C
25,1010826.53,D
26,4687995.88,D
27,16280282.63,B
28,15757317.07,C
29,3635832.07,D
30,549890.96,D
31,5788894.47,B
32,5786670,A
33,7271122.95,A
34,21268415.7,B
35,11895654.21,D
36,5745800.83,D
37,8676209.22,A
38,4181599.64,A
39,5373721.7,C
40,9928233.41,A
41,8854978.99,C
42,2214833.7,C
43,1714565.3,B
44,767020.43,B
45,17612573.27,A
46,19710136.21,A
47,6098965.37,D
48,9212350.61,D
49,15179922.39,B
50,13032086.37,D
