id,value,category
1,7724544.66,D
2,4113665.28,C
3,16687030.95,C
4,5869486.53,A
5,20182753.69,C
6,2801665.19,D
7,15890939.49,A
8,14456041.98,C
9,12381477.57,D
10,3529085.11,C
11,13162594.2,A
12,16682188.78,A
13,12432949.45,B
14,490013.73,A
15,20228552.26,C
16,10026112.64,B
17,21235229.79,A
18,15979484.32,A
19,8115503.61,D
20,19794463.44,A
21,5366945.07,A
22,21267856.48,D
23,20489477.24,A
24,15240481.02,A
25,19882307.71,D
26,20079567.29,B
27,17317750.51,A
28,3581216.86,C
29,19850141.44,C
30,11704028.87,A
31,11183493.17,D
32,20435209.65,B
33,20593134.92,C
34,20385070.01,C
35,17863258.7,A
36,16415152.59,A
37,7907584.31,D
38,20100873.55,C
39,12637282.48,D
40,7963506.92,C
41,21356914.05,A
42,438270.34,C
43,11294280,A
44,994150.97,A
45,9442474.12,D
46,15270145.51,A
47,5646971.19,D
48,13379549.4,B
49,13099188.95,A
50,9206790.04,B
