id,value,category
1,10277469.31,A
2,6710706.89,C
3,18836277.75,D
4,7317211.99,D
5,6228837.38,B
6,21358330.45,C
7,13568690.67,B
8,20460811.36,B
9,1704288.33,C
10,5463435.15,D
11,17636185.12,C
12,20142108.01,B
13,7091902.88,D
14,19594004.74,B
15,17547895.06,C
16,539838.73,B
17,10442575.69,C
18,11280744.35,B
19,14174366.12,D
20,2676775.69,C
21,20720876.42,D
22,1632002.74,B
23,17356614.34,B
24,12993477.22,C
25,13022422.42,A
26,18712686.1,A
27,4210437.31,D
28,12954438.51,B
29,11663777.02,C
30,157847.07,A
31,6003474.29,B
32,20275391.47,B
33,14827687.99,C
34,8823428.77,D
35,14397948.55,A
36,9331650.97,B
37,2886032.97,B
38,19417623.45,D
39,8610660.09,C
40,13129850.05,A
41,13906090.31,B
42,17574716.39,C
43,227742.5,B
44,20654027.17,A
45,14909399.69,D
46,2601961.37,A
47,10715875.72,B
48,2888786.87,A
49,20743332.41,B
50,1352273.47,C
