id,value,category
1,9256593.06,A
2,15630091.85,D
3,5108297.88,D
4,2531503.97,D
5,407200.64,B
6,11443644.48,D
7,11503760.87,D
8,11562021.47,D
9,20974897.21,A
10,3708712.04,B
11,20373132.07,D
12,7341883.89,C
13,4687820.69,C
14,13588364.2,A
15,14571755.35,D
16,2805663.38,C
17,18740795.48,C
18,426901.79,B
19,20269087.65,A
20,21400308.7,C
21,3721877.83,B
22,15711534.3,C
23,12860121.33,A
24,6611762.06,D
25,1409333.3,B
26,12729026.12,D
27,14602147.84,C
28,13979753.49,C
29,16717705.02,D
30,15837005.69,A
31,1996070.99,D
32,11508743.91,C
33,13763816.83,B
34,1710810.88,B
35,16522217.82,D
36,5687578.5,C
37,13153406.22,A
38,6170945.7,B
39,14023932.37,C
40,1549658.66,C
41,17898608.7,C
42,18975483.47,C
43,5517009.9,B
44,18122057.33,A
45,14498661.16,B
46,13300065.87,A
47,16222866.71,A
48,6533805.9,D
49,12184763.54,A
50,20835851.85,A
