id,value,category
1,6945510.14,B
2,5201657.35,A
3,3449000.18,B
4,17485999.79,D
5,567320.49,D
6,1066536.62,D
7,14748639.4,D
8,14754412.92,D
9,7075717.51,B
10,1849664.19,B
11,10987393.03,B
12,16543348.11,D
13,17469332.92,B
14,16505283.77,D
15,15809241.02,B
16,11450253.76,A
17,11410875.56,B
18,2073715.45,D
19,20055360.75,B
20,18969735.61,A
21,16602514.91,C
22,9761810.9,B
23,18440613.6,A
24,4048134.26,C
25,18015275.59,C
26,16191102.76,C
27,2169314.21,C
28,1814740.59,C
29,20037852.95,D
30,3015737.09,C
31,10621170.61,A
32,105132.85,A
33,680580.92,D
34,19786368.13,B
35,19801623.89,C
36,18585767.12,C
37,14408701.63,D
38,17605203.88,C
39,14159791.76,B
40,5608492.76,A
41,7214796.98,A
42,21084371.75,D
43,2073862.3,D
44,2075133.71,C
45,13796596.97,B
46,21434947.4,B
47,2628223.61,A
48,13691367.55,C
49,18112199.59,C
50,7185584.98,B
