id,value,category
1,1579902.21,D
2,5539081.2,B
3,9566452.82,D
4,10609643.01,C
5,4499536.97,B
6,9295913.27,C
7,4696382.99,B
8,1648747.54,D
9,16643264.64,C
10,10116936.77,C
11,6607908.7,D
12,11525093.93,D
13,15454789.37,D
14,4487888.36,C
15,6553927.73,B
16,20766449.66,C
17,9541490.35,C
18,6356793.22,C
19,9805528.81,D
20,17702146.54,B
21,6006552.26,C
22,15935271.56,D
23,17582050.87,A
24,873354.69,A
25,12208747.9,D
26,20280559.19,A
27,3678211.38,A
28,8792355.66,B
29,19395861.72,B
30,14401421.31,B
31,18054277.73,A
32,14765533.17,D
33,13571768.68,B
34,10061157.17,A
35,1095710.61,D
36,6659737.29,B
37,5671571.95,D
38,2630593.31,D
39,20765287.23,C
40,3214853.56,B
41,9874942.25,D
42,18315415.32,A
43,11702064.9,D
44,7218093.81,C
45,7607454.01,C
46,10524577.13,D
47,16147536.27,A
48,16796022.07,B
49,215372.18,D
50,2906694.06,A
