id,value,category
1,2804758.18,A
2,2480213.25,C
3,15589574.56,B
4,56675.32,D
5,20821458.94,C
6,21054751.46,C
7,14945359.19,C
8,9781753.79,A
9,14835808.23,A
10,7451855.82,C
11,21457377.91,C
12,13055843.22,B
13,5174033.52,C
14,3089134.58,B
15,7477328.73,C
16,16971612.43,B
17,20725825.93,B
18,20137466.27,D
19,6463221.96,D
20,717521.25,B
21,16208413.37,D
22,14420384.16,A
23,10088163.94,B
24,2914797.73,A
25,13441655.04,A
26,16257129.32,B
27,4293505.37,D
28,16397610.97,A
29,20610198.1,C
30,684673.12,C
31,5050341.39,A
32,13523389.27,C
33,2949314.59,D
34,13171578.47,C
35,3756173.19,A
36,1320340.39,D
37,21291952.94,A
38,3713637.11,C
39,11669374.67,D
40,5649036.84,A
41,6259333.34,B
42,16785459.61,B
43,5300092.41,C
44,8979471.2,A
45,13792471.07,C
46,3737876.69,B
47,18013909.14,B
48,20370772.28,A
49,12787904.66,B
50,3627939.47,C
