id,value,category
1,19785888.93,D
2,5852704.08,C
3,5170488.95,D
4,5067265.28,B
5,4197894.62,C
6,10564987.94,C
7,11896110.2,A
8,15973846.16,A
9,5598518.56,B
10,8911201.9,B
11,18586373.09,B
12,19086373.16,D
13,480576.43,B
14,9705161.79,D
15,2962897.82,A
16,9642876.66,C
17,10925927,C
18,19512596.36,C
19,6486201.3,B
20,19219357.9,A
21,18813801.74,B
22,948987.48,A
23,7361178.83,C
24,7375196.08,B
25,14513258.94,C
26,6742904.77,B
27,9618163.66,D
28,10728550.41,C
29,19430080.82,C
30,6598092.91,B
31,9348991.01,A
32,1105419.6,C
33,15194056.93,B
34,21186030.59,D
35,20902886.44,D
36,14092174.38,C
37,1391423.91,A
38,1461438.47,C
39,18654696.32,B
40,7148228.95,D
41,3315752.91,D
42,10063779.04,A
43,10545295.57,C
44,14039676.63,B
45,6236700.27,B
46,14097023.75,D
47,10868897.25,C
48,20687894.08,C
49,3289525.4,B
50,16041789.97,D
