id,value,category
1,4532457.78,C
2,6782706.73,D
3,16511151.92,D
4,233135.02,C
5,11698953.72,C
6,10433170.46,A
7,19029779.02,B
8,9087234.33,B
9,5660960.91,A
10,17247568.63,B
11,1604783.86,A
12,2454263.26,C
13,2712219.17,D
14,5865865.39,A
15,7208534.6,B
16,14378256.33,C
17,18642167.18,D
18,12178631.79,B
19,13099345.95,D
20,873230.73,C
21,11102704.74,D
22,6302016.03,C
23,18337047.65,A
24,13302709.28,D
25,18169105.74,B
26,14164241.25,C
27,18458862.36,D
28,4995716.07,D
29,16789952.39,D
30,5922158.43,B
31,19146586.77,A
32,6194371.19,C
33,16310772.48,D
34,6785328.27,B
35,14172263.22,D
36,10224026.48,B
37,19875444.39,A
38,14465425.39,D
39,8550901.07,B
40,2094578.33,C
41,1059358.49,B
42,10539525.28,D
43,10053913.76,D
44,20016274.04,B
45,5421195.83,B
46,267571.97,A
47,21200496.45,D
48,2216877.5,A
49,13307137.35,A
50,13197937.84,B
